,0
0,Aeon
1,Agoras-Tokens
2,ArtByte
3,Auroracoin
4,BitBean
5,Bitcrystals
6,BitSend
7,BlackCoin
8,Blitzcash
9,Burst
10,CloakCoin
11,Counterparty
12,Crown
13,Internet-of-People
14,ION
15,korecoin
16,memetic
17,Mercury
18,MonetaryUnit
19,Myriad
20,NeosCoin
21,Nexium
22,OKCash
23,Omni
24,Pesetacoin
25,PinkCoin
26,PotCoin
27,Radium
28,Rise
29,SaluS
30,Sequence
31,Shift
32,SIBCoin
33,Sphere
34,Stealthcoin
35,Synereo
36,TransferCoin
37,Triggers
38,trust
39,Vcash
40,Viacoin
41,WhiteCoin
42,DECENT
43,Diamond
44,DigitalNote
45,DopeCoin
46,Energycoin
47,Expanse
48,Feathercoin
49,FlorinCoin
50,FoldingCoin
51,Gambit
52,Global-Currency-Reserve
53,Golos
54,GridCoin
55,Gulden
56,Databits
57,HempCoin
